date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:48	0/0	U-----	200	untouched ('OK')	text/plain	date:Mon,%2030%20Nov%202020%2019:50:46%20GMT	http://avo.smartinnovates.com/robots.txt		(from )
01:04:48	149758/149758	U-----	200	untouched ('OK')	text/html	date:Mon,%2030%20Nov%202020%2014:44:45%20GMT	http://avo.smartinnovates.com/demo5/home5-light/	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/home5-light/index.html	(from )
01:04:49	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2030%20Nov%202020%2021:04:49%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.2	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/contact-form-7/includes/css/stylesbb49.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
01:04:49	2967/2967	U-----	200	untouched ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:11:15%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=3.1.0	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style324d.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
01:04:49	53907/53907	U-----	200	untouched ('OK')	text/css	date:Wed,%2002%20Sep%202020%2011:59:46%20GMT	http://avo.smartinnovates.com/demo5/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-includes/css/dist/block-library/style.min5697.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
01:04:49	155284/155284	U-----	200	untouched ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:11:15%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=3.1.0	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style324d.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
01:04:50	59946/59946	U-----	200	untouched ('OK')	text/css	date:Fri,%2021%20Aug%202020%2011:02:11%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.2.21	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/css/rs6dbb0.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
01:04:50	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2030%20Nov%202020%2021:04:51%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.2.2	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/contact-form-7/includes/js/scriptsbb49.js	(from http://avo.smartinnovates.com/demo5/home5-light/)
01:04:50	17639/17639	U-----	200	untouched ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:10:58%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.5.1	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-layout8686.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
01:04:50	6758/6758	U-----	200	untouched ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:10:58%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.5.1	C:/Users/User/Desktop/portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen8686.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
