date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:46	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2030%20Nov%202020%2019:50:46%20GMT	http://avo.smartinnovates.com/robots.txt		(from )
23:50:47	149758/149758	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2014:44:45%20GMT	http://avo.smartinnovates.com/demo5/home5-light/	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/home5-light/index.html	(from )
23:50:49	53907/53907	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Sep%202020%2011:59:46%20GMT	http://avo.smartinnovates.com/demo5/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-includes/css/dist/block-library/style.min5697.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:49	2967/2967	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:11:15%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=3.1.0	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style324d.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:50	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2030%20Nov%202020%2019:50:50%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.2	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/contact-form-7/includes/css/stylesbb49.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:52	155284/155284	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:11:15%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=3.1.0	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style324d.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:54	59946/59946	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Aug%202020%2011:02:11%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.2.21	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/css/rs6dbb0.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:55	17639/17639	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:10:58%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.5.1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-layout8686.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:55	6758/6758	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:10:58%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.5.1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen8686.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:57	62511/62511	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:10:58%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.5.1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/woocommerce/assets/css/woocommerce8686.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:57	6447/6447	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:16:40%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/avo_plugin/widgets/css/style.css?ver=1.0.0	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/avo_plugin/widgets/css/style8a54.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:50:59	121556/121556	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:08%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/bootstrap.min.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/bootstrap.min68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:01	30999/30999	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:03	55753/55753	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:09%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/fontawesome.min.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/fontawesome.min68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:03	7354/7354	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:09%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/icon-font.min.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/icon-font.min68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:04	51329/51329	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:10%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/ionicons.min.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/ionicons.min68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:04	6951/6951	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:11%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/magnific-popup.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/magnific-popup68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:05	25340/25340	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:07%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/animate.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/animate68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:06	22966/22966	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:11%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/magic.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/magic68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:07	1729/1729	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:12%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/slick.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/slick68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:07	4512/4512	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:10%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/jquery.fatNav.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/jquery.fatNav68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:08	29642/29642	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:07%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/animate.headline.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/animate.headline68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:09	1784/1784	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:13%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/splitting.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/splitting68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:10	1518/1518	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:20:13%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/css/splitting-cells.css?ver=1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/css/splitting-cells68b3.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:15	395993/395993	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Nov%202020%2023:20:14%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/style.css?ver=1.0.0	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/style8a54.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:15	16636/16636	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:17	18468/18468	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.7	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/animations/animations.min8571.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:17	3854/3854	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.7	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/css/frontend-legacy.min8571.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:20	112503/112503	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.7	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/css/frontend.min8571.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:22	947/947	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Sep%202020%2011:46:38%20GMT	http://avo.smartinnovates.com/demo5/wp-content/uploads/sites/12/elementor/css/post-5.css?ver=1600083998	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/uploads/sites/12/elementor/css/post-57014.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:22	3878/3878	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:18:04%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/avo_plugin/assets/fonts/flaticon/flaticon.css	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/avo_plugin/assets/fonts/flaticon/flaticon.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:22	9707/9707	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Nov%202020%2012:18:08%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/avo_plugin/assets/fonts/peicon/pe-icon-7-stroke.css	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/avo_plugin/assets/fonts/peicon/pe-icon-7-stroke.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:22	6537/6537	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:28%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/better-elementor-addons//assets/css/twentytwenty.css?ver=20200508	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/better-elementor-addons/assets/css/twentytwenty38be.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:23	19926/19926	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:29%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/better-elementor-addons//assets/style.css?ver=20200508	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/better-elementor-addons/assets/style38be.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:24	57180/57180	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.7	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min8571.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:25	26702/26702	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.0.7	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min8571.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:26	20612/20612	---M--	200	added ('OK')	text/css	date:Sun,%2008%20Nov%202020%2018:21:15%20GMT	http://avo.smartinnovates.com/demo5/wp-content/uploads/sites/12/elementor/css/post-522.css?ver=1604859675	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/uploads/sites/12/elementor/css/post-522b4c8.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:28	55753/55753	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:28	661/661	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202020%2023:09:48%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:30	96873/96873	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Aug%202020%2006:18:04%20GMT	http://avo.smartinnovates.com/demo5/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-includes/js/jquery/jquery4a5f.js	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:31	119386/119386	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2021%20Aug%202020%2011:02:12%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.2.21	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/js/rbtools.mindbb0.js	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:36	51373/51373	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Nov%202020%2012:20:37%20GMT	http://avo.smartinnovates.com/demo5/wp-content/themes/avo/js/modernizr.js?ver=5.5.3	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/themes/avo/js/modernizr5697.js	(from http://avo.smartinnovates.com/demo5/home5-light/)
23:51:38	326244/326244	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2021%20Aug%202020%2011:02:12%20GMT	http://avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.2.21	C:/Users/User/Desktop/Portfolio/avo.smartinnovates.com/demo5/wp-content/plugins/revslider/public/assets/js/rs6.mindbb0.js	(from http://avo.smartinnovates.com/demo5/home5-light/)
